txn_id,amount,hour,velocity,is_new_device,is_vpn,sim_swap,num_meters,fail_logins,distance,account_age,disco,state,channel,is_fraud
TXN0000000,22987,12,2,0,0,0,1,0,1.1,298,EEDC,Lagos,web,0
TXN0000001,9372,9,2,0,0,0,1,1,5.6,1844,JEDC,Borno,mobile_app,0
TXN0000002,290475,23,16,1,1,0,12,7,420.8,45,IKEDC,Oyo,pos,1
TXN0000003,2180,10,1,0,1,0,1,1,6.5,326,KAEDCO,Enugu,web,0
TXN0000004,13850,7,1,1,0,0,2,1,4.2,983,IKEDC,Abuja,mobile_app,0
TXN0000005,18184,10,3,0,0,0,2,0,9.8,1262,AEDC,Oyo,agent,0
TXN0000006,16363,9,3,1,0,0,2,1,0.8,1444,PHEDC,Delta,mobile_app,0
TXN0000007,8561,15,2,0,0,0,1,1,0.7,144,IKEDC,Edo,agent,0
TXN0000008,119872,4,19,1,1,1,5,5,163.4,58,PHEDC,Edo,ussd,1
TXN0000009,15106,14,3,0,0,0,2,1,11.1,196,IKEDC,Edo,web,0
TXN0000010,8199,21,1,1,0,0,1,0,10.4,1472,AEDC,Enugu,pos,0
TXN0000011,11248,15,2,0,0,0,2,1,5.3,1278,BEDC,Imo,web,0
TXN0000012,590,12,3,0,0,0,1,0,4.4,1248,EEDC,Abuja,mobile_app,0
TXN0000013,245956,0,24,1,1,0,12,8,355.8,51,EKEDC,Enugu,agent,1
TXN0000014,10166,18,2,0,0,0,2,1,10.8,517,YEDC,Edo,agent,0
TXN0000015,24431,11,3,0,0,0,2,0,5.8,1892,IKEDC,Oyo,mobile_app,0
TXN0000016,9807,21,2,0,0,0,2,0,1.0,844,IKEDC,Kano,agent,0
TXN0000017,20199,15,3,0,0,0,2,0,13.7,315,IKEDC,Kano,mobile_app,0
TXN0000018,24110,10,2,1,0,0,1,0,14.3,220,AEDC,Abuja,mobile_app,0
TXN0000019,22207,13,3,0,0,0,1,0,1.7,899,EKEDC,Edo,agent,0
TXN0000020,6081,12,2,0,0,0,2,1,14.2,1661,BEDC,Enugu,mobile_app,0
TXN0000021,6070,8,1,0,0,0,2,0,11.1,1782,KEDCO,Kano,web,0
TXN0000022,216421,5,11,1,1,0,6,3,428.2,16,KAEDCO,Edo,pos,1
TXN0000023,24809,11,2,0,0,0,2,0,14.3,1229,KAEDCO,Kano,mobile_app,0
TXN0000024,14772,19,3,0,0,0,1,0,8.0,1666,BEDC,Enugu,web,0
TXN0000025,14970,10,1,0,0,0,2,0,10.3,1734,JEDC,Delta,ussd,0
TXN0000026,23566,14,2,0,0,0,2,0,3.4,1650,BEDC,Rivers,agent,0
TXN0000027,10308,12,1,1,0,0,2,1,14.2,1562,JEDC,Oyo,web,0
TXN0000028,23871,14,1,1,0,0,2,0,10.9,1309,KEDCO,Oyo,agent,0
TXN0000029,19106,8,3,0,0,0,2,0,4.0,312,PHEDC,Imo,mobile_app,0
TXN0000030,16790,20,2,1,0,0,1,1,10.4,1103,YEDC,Kaduna,ussd,0
TXN0000031,12313,21,3,0,0,0,2,0,4.6,1534,BEDC,Edo,web,0
TXN0000032,13448,11,3,1,0,0,1,0,4.6,802,KAEDCO,Kano,ussd,0
TXN0000033,203457,1,20,1,1,1,7,7,482.7,43,KEDCO,Enugu,web,1
TXN0000034,10199,21,3,0,0,0,2,0,5.5,314,EKEDC,Abuja,ussd,0
TXN0000035,13477,18,2,0,0,0,2,0,8.7,1528,JEDC,Lagos,web,0
TXN0000036,17840,20,1,0,0,0,1,1,13.5,1043,EEDC,Kano,web,0
TXN0000037,19808,21,1,0,0,0,2,1,1.9,1119,KAEDCO,Lagos,web,0
TXN0000038,18641,17,1,1,0,0,1,1,2.6,803,EEDC,Kaduna,ussd,0
TXN0000039,4214,15,1,0,0,0,1,0,4.0,435,KEDCO,Delta,mobile_app,0
TXN0000040,5014,13,3,0,1,0,2,1,1.7,636,EEDC,Imo,mobile_app,0
TXN0000041,18950,8,2,1,0,0,2,0,1.3,1860,JEDC,Lagos,mobile_app,0
TXN0000042,4626,17,1,0,1,0,2,0,13.5,392,EEDC,Borno,web,0
TXN0000043,11180,16,2,0,0,0,2,1,12.8,382,JEDC,Oyo,web,0
TXN0000044,2186,19,3,0,0,0,1,1,3.9,588,JEDC,Kaduna,agent,0
TXN0000045,18600,10,1,1,0,0,2,0,6.2,888,KEDCO,Kano,mobile_app,0
TXN0000046,19858,8,1,0,0,0,1,1,9.2,1504,EKEDC,Abuja,mobile_app,0
TXN0000047,16148,15,3,0,0,0,2,1,4.2,1031,AEDC,Lagos,web,0
